sensor_id,parameter,parameter_units,value,date,latitude,longitude
164,co,µg/m³,0.22,2022-08-30,52.389983000188224,4.88781099987638
164,co,µg/m³,0.27,2022-08-31,52.389983000188224,4.88781099987638
164,co,µg/m³,0.26,2022-09-01,52.389983000188224,4.88781099987638
164,co,µg/m³,0.39,2022-09-02,52.389983000188224,4.88781099987638
164,co,µg/m³,0.35,2022-09-03,52.389983000188224,4.88781099987638
164,co,µg/m³,0.36,2022-09-04,52.389983000188224,4.88781099987638
164,co,µg/m³,0.4,2022-09-05,52.389983000188224,4.88781099987638
164,co,µg/m³,0.37,2022-09-06,52.389983000188224,4.88781099987638
164,co,µg/m³,0.38,2022-09-07,52.389983000188224,4.88781099987638
164,co,µg/m³,0.26,2022-09-08,52.389983000188224,4.88781099987638
164,co,µg/m³,0.32,2022-09-09,52.389983000188224,4.88781099987638
164,co,µg/m³,0.5,2022-09-10,52.389983000188224,4.88781099987638
164,co,µg/m³,0.28,2022-09-11,52.389983000188224,4.88781099987638
164,co,µg/m³,0.27,2022-09-12,52.389983000188224,4.88781099987638
164,co,µg/m³,0.23,2022-09-13,52.389983000188224,4.88781099987638
164,co,µg/m³,0.22,2022-09-14,52.389983000188224,4.88781099987638
164,co,µg/m³,0.21,2022-09-15,52.389983000188224,4.88781099987638
164,co,µg/m³,0.22,2022-09-16,52.389983000188224,4.88781099987638
164,co,µg/m³,0.24,2022-09-17,52.389983000188224,4.88781099987638
164,co,µg/m³,0.28,2022-09-18,52.389983000188224,4.88781099987638
164,co,µg/m³,0.3,2022-09-29,52.389983000188224,4.88781099987638
164,co,µg/m³,0.24,2022-09-30,52.389983000188224,4.88781099987638
164,co,µg/m³,0.55,2022-10-01,52.389983000188224,4.88781099987638
164,co,µg/m³,0.49,2022-10-02,52.389983000188224,4.88781099987638
164,co,µg/m³,0.29,2022-10-03,52.389983000188224,4.88781099987638
164,co,µg/m³,0.3,2022-10-04,52.389983000188224,4.88781099987638
164,co,µg/m³,0.29,2022-10-05,52.389983000188224,4.88781099987638
164,co,µg/m³,0.26,2022-10-06,52.389983000188224,4.88781099987638
164,co,µg/m³,0.42,2022-10-07,52.389983000188224,4.88781099987638
164,co,µg/m³,0.55,2022-10-08,52.389983000188224,4.88781099987638
164,co,µg/m³,0.51,2022-10-19,52.389983000188224,4.88781099987638
164,co,µg/m³,0.39,2022-10-20,52.389983000188224,4.88781099987638
164,co,µg/m³,0.37,2022-10-21,52.389983000188224,4.88781099987638
164,co,µg/m³,0.29,2022-10-22,52.389983000188224,4.88781099987638
164,co,µg/m³,0.42,2022-10-23,52.389983000188224,4.88781099987638
164,co,µg/m³,0.33,2022-10-24,52.389983000188224,4.88781099987638
164,co,µg/m³,0.36,2022-10-25,52.389983000188224,4.88781099987638
164,co,µg/m³,0.36,2022-10-26,52.389983000188224,4.88781099987638
164,co,µg/m³,0.51,2022-10-27,52.389983000188224,4.88781099987638
164,co,µg/m³,0.48,2022-10-28,52.389983000188224,4.88781099987638
164,co,µg/m³,0.53,2022-10-29,52.389983000188224,4.88781099987638
164,co,µg/m³,0.28,2022-10-30,52.389983000188224,4.88781099987638
164,co,µg/m³,0.31,2022-10-31,52.389983000188224,4.88781099987638
164,co,µg/m³,0.34,2022-11-01,52.389983000188224,4.88781099987638
164,co,µg/m³,0.46,2022-11-02,52.389983000188224,4.88781099987638
164,co,µg/m³,0.35,2022-11-03,52.389983000188224,4.88781099987638
