tavg,co,no,no2,o3,pm10,pm25,so2,date,latitude,longitude
18.9,0.21000000000000002,9.220394650205762,12.0,70.0,13.0,5.8,0.95,2022-08-30,52.35803899985509,4.899699999642448
18.9,0.2,1.5803238095238095,14.0,79.0,12.0,7.2,0.95,2022-08-30,52.359714000013874,4.866208000411839
18.9,0.21000000000000002,12.274537093023255,16.0,70.0,13.0,6.175000000000001,0.95,2022-08-30,52.374786000246935,4.86031900024369
18.9,0.21000000000000002,2.441637984496124,4.0,69.0,12.6,6.175000000000001,0.95,2022-08-30,52.38931400010768,4.9438219998869615
18.9,0.22,8.839829069767443,14.0,62.0,14.0,6.3,0.95,2022-08-30,52.389983000188224,4.88781099987638
18.9,0.21000000000000002,6.395690594202899,12.0,70.0,11.0,5.4,0.95,2022-08-30,52.39397200025616,4.870156999790721
18.8,0.24,9.220394650205762,21.0,68.0,17.0,8.1,1.5,2022-08-31,52.35803899985509,4.899699999642448
18.8,0.21,1.5803238095238095,13.0,72.0,17.0,5.8,1.5,2022-08-31,52.359714000013874,4.866208000411839
18.8,0.24,12.274537093023255,31.0,68.0,18.0,7.125,1.5,2022-08-31,52.374786000246935,4.86031900024369
18.8,0.24,2.441637984496124,7.2,72.0,17.0,7.125,1.5,2022-08-31,52.38931400010768,4.9438219998869615
18.8,0.27,8.839829069767443,23.0,60.0,18.0,8.1,1.5,2022-08-31,52.389983000188224,4.88781099987638
18.8,0.24,6.395690594202899,19.04,68.0,15.0,6.5,1.5,2022-08-31,52.39397200025616,4.870156999790721
18.9,0.25,9.220394650205762,19.0,89.0,15.0,8.1,1.4,2022-09-01,52.35803899985509,4.899699999642448
18.9,0.24,1.5803238095238095,14.0,91.0,20.0,10.0,1.4,2022-09-01,52.359714000013874,4.866208000411839
18.9,0.25,12.274537093023255,26.0,89.0,17.0,7.675000000000001,1.4,2022-09-01,52.374786000246935,4.86031900024369
18.9,0.25,2.441637984496124,5.8,94.0,16.6,7.675000000000001,1.4,2022-09-01,52.38931400010768,4.9438219998869615
18.9,0.26,8.839829069767443,22.0,82.0,16.0,6.8,1.4,2022-09-01,52.389983000188224,4.88781099987638
18.9,0.25,6.395690594202899,17.36,89.0,15.0,5.8,1.4,2022-09-01,52.39397200025616,4.870156999790721
19.6,0.355,9.220394650205762,33.0,55.333333333333336,24.0,14.0,1.1,2022-09-02,52.35803899985509,4.899699999642448
19.6,0.32,1.5803238095238095,19.0,61.0,25.0,15.0,1.1,2022-09-02,52.359714000013874,4.866208000411839
19.6,0.355,12.274537093023255,39.0,55.333333333333336,28.0,14.25,1.1,2022-09-02,52.374786000246935,4.86031900024369
19.6,0.355,2.441637984496124,24.0,60.0,24.0,14.25,1.1,2022-09-02,52.38931400010768,4.9438219998869615
19.6,0.39,8.839829069767443,50.0,45.0,23.0,15.0,1.1,2022-09-02,52.389983000188224,4.88781099987638
19.6,0.355,6.395690594202899,33.0,55.333333333333336,20.0,13.0,1.1,2022-09-02,52.39397200025616,4.870156999790721
20.5,0.29,9.220394650205762,28.0,55.0,18.0,9.5,1.1,2022-09-03,52.35803899985509,4.899699999642448
20.5,0.23,1.5803238095238095,20.0,58.0,24.0,7.9,1.1,2022-09-03,52.359714000013874,4.866208000411839
20.5,0.29,12.274537093023255,46.0,55.0,20.0,8.75,1.1,2022-09-03,52.374786000246935,4.86031900024369
20.5,0.29,2.441637984496124,23.0,61.0,20.0,8.75,1.1,2022-09-03,52.38931400010768,4.9438219998869615
20.5,0.35,8.839829069767443,49.0,46.0,22.0,9.0,1.1,2022-09-03,52.389983000188224,4.88781099987638
20.5,0.29,6.395690594202899,33.2,55.0,16.0,8.6,1.1,2022-09-03,52.39397200025616,4.870156999790721
20.5,0.285,9.220394650205762,35.0,58.666666666666664,15.0,7.7,1.2,2022-09-04,52.35803899985509,4.899699999642448
20.5,0.21,1.5803238095238095,18.0,58.0,12.0,12.0,1.2,2022-09-04,52.359714000013874,4.866208000411839
20.5,0.285,12.274537093023255,41.0,58.666666666666664,19.0,7.624999999999999,1.2,2022-09-04,52.374786000246935,4.86031900024369
20.5,0.285,2.441637984496124,18.0,66.0,15.4,7.624999999999999,1.2,2022-09-04,52.38931400010768,4.9438219998869615
20.5,0.36,8.839829069767443,35.0,52.0,18.0,7.1,1.2,2022-09-04,52.389983000188224,4.88781099987638
20.5,0.285,6.395690594202899,29.4,58.666666666666664,13.0,3.7,1.2,2022-09-04,52.39397200025616,4.870156999790721
22.1,0.29000000000000004,9.220394650205762,27.0,58.333333333333336,13.0,6.5,1.1,2022-09-05,52.35803899985509,4.899699999642448
22.1,0.18,1.5803238095238095,10.0,59.0,12.0,6.0,1.1,2022-09-05,52.359714000013874,4.866208000411839
22.1,0.29000000000000004,12.274537093023255,37.0,58.333333333333336,17.0,5.3999999999999995,1.1,2022-09-05,52.374786000246935,4.86031900024369
22.1,0.29000000000000004,2.441637984496124,12.0,64.0,12.98,5.3999999999999995,1.1,2022-09-05,52.38931400010768,4.9438219998869615
22.1,0.4,8.839829069767443,30.0,52.0,14.0,7.2,1.1,2022-09-05,52.389983000188224,4.88781099987638
22.1,0.29000000000000004,6.395690594202899,23.2,58.333333333333336,8.9,1.9,1.1,2022-09-05,52.39397200025616,4.870156999790721
20.9,0.28,9.220394650205762,29.0,41.333333333333336,11.0,6.0,0.8,2022-09-06,52.35803899985509,4.899699999642448
20.9,0.19,1.5803238095238095,13.0,40.0,7.3,4.7,0.8,2022-09-06,52.359714000013874,4.866208000411839
20.9,0.28,12.274537093023255,28.0,41.333333333333336,9.9,4.425,0.8,2022-09-06,52.374786000246935,4.86031900024369
20.9,0.28,2.441637984496124,13.0,47.0,9.2,4.425,0.8,2022-09-06,52.38931400010768,4.9438219998869615
20.9,0.37,8.839829069767443,27.0,37.0,12.0,5.5,0.8,2022-09-06,52.389983000188224,4.88781099987638
20.9,0.28,6.395690594202899,22.0,41.333333333333336,5.8,1.5,0.8,2022-09-06,52.39397200025616,4.870156999790721
19.1,0.29000000000000004,9.220394650205762,30.0,43.333333333333336,11.0,5.1,0.78,2022-09-07,52.35803899985509,4.899699999642448
19.1,0.2,1.5803238095238095,12.0,42.0,6.4,4.8,0.78,2022-09-07,52.359714000013874,4.866208000411839
19.1,0.29000000000000004,12.274537093023255,26.0,43.333333333333336,11.0,3.9749999999999996,0.78,2022-09-07,52.374786000246935,4.86031900024369
19.1,0.29000000000000004,2.441637984496124,10.0,50.0,9.52,3.9749999999999996,0.78,2022-09-07,52.38931400010768,4.9438219998869615
19.1,0.38,8.839829069767443,26.0,38.0,12.0,4.1,0.78,2022-09-07,52.389983000188224,4.88781099987638
19.1,0.29000000000000004,6.395690594202899,20.8,43.333333333333336,7.2,1.9,0.78,2022-09-07,52.39397200025616,4.870156999790721
18.2,0.235,9.220394650205762,21.0,50.666666666666664,9.7,6.5,1.0,2022-09-08,52.35803899985509,4.899699999642448
18.2,0.21,1.5803238095238095,13.0,53.0,11.0,8.6,1.0,2022-09-08,52.359714000013874,4.866208000411839
18.2,0.235,12.274537093023255,19.0,50.666666666666664,12.0,6.425,1.0,2022-09-08,52.374786000246935,4.86031900024369
18.2,0.235,2.441637984496124,4.0,47.0,10.9,6.425,1.0,2022-09-08,52.38931400010768,4.9438219998869615
18.2,0.26,8.839829069767443,17.0,52.0,12.0,7.3,1.0,2022-09-08,52.389983000188224,4.88781099987638
18.2,0.235,6.395690594202899,14.8,50.666666666666664,9.8,3.3,1.0,2022-09-08,52.39397200025616,4.870156999790721
15.9,0.29000000000000004,9.220394650205762,39.0,40.333333333333336,15.0,11.0,0.95,2022-09-09,52.35803899985509,4.899699999642448
15.9,0.26,1.5803238095238095,20.0,34.0,14.0,11.0,0.95,2022-09-09,52.359714000013874,4.866208000411839
15.9,0.29000000000000004,12.274537093023255,37.0,40.333333333333336,17.0,9.325,0.95,2022-09-09,52.374786000246935,4.86031900024369
15.9,0.29000000000000004,2.441637984496124,6.9,46.0,14.6,9.325,0.95,2022-09-09,52.38931400010768,4.9438219998869615
15.9,0.32,8.839829069767443,31.0,41.0,16.0,8.5,0.95,2022-09-09,52.389983000188224,4.88781099987638
15.9,0.29000000000000004,6.395690594202899,26.78,40.333333333333336,11.0,6.8,0.95,2022-09-09,52.39397200025616,4.870156999790721
17.5,0.405,9.220394650205762,49.0,55.666666666666664,19.0,12.0,1.4,2022-09-10,52.35803899985509,4.899699999642448
17.5,0.31,1.5803238095238095,26.0,52.0,17.0,11.0,1.4,2022-09-10,52.359714000013874,4.866208000411839
17.5,0.405,12.274537093023255,69.0,55.666666666666664,22.0,10.425,1.4,2022-09-10,52.374786000246935,4.86031900024369
17.5,0.405,2.441637984496124,30.0,68.0,18.8,10.425,1.4,2022-09-10,52.38931400010768,4.9438219998869615
17.5,0.5,8.839829069767443,55.0,47.0,21.0,11.0,1.4,2022-09-10,52.389983000188224,4.88781099987638
17.5,0.405,6.395690594202899,45.8,55.666666666666664,15.0,7.7,1.4,2022-09-10,52.39397200025616,4.870156999790721
17.2,0.245,9.220394650205762,35.0,44.666666666666664,15.0,7.9,1.2,2022-09-11,52.35803899985509,4.899699999642448
17.2,0.21,1.5803238095238095,22.0,39.0,14.0,6.8,1.2,2022-09-11,52.359714000013874,4.866208000411839
17.2,0.245,12.274537093023255,34.0,44.666666666666664,19.0,7.025,1.2,2022-09-11,52.374786000246935,4.86031900024369
17.2,0.245,2.441637984496124,18.0,47.0,16.0,7.025,1.2,2022-09-11,52.38931400010768,4.9438219998869615
17.2,0.28,8.839829069767443,28.0,48.0,15.0,7.0,1.2,2022-09-11,52.389983000188224,4.88781099987638
17.2,0.245,6.395690594202899,27.4,44.666666666666664,17.0,6.4,1.2,2022-09-11,52.39397200025616,4.870156999790721
18.3,0.20500000000000002,9.220394650205762,30.0,55.333333333333336,11.0,3.9,0.9,2022-09-12,52.35803899985509,4.899699999642448
18.3,0.14,1.5803238095238095,15.0,53.0,13.0,4.2,0.9,2022-09-12,52.359714000013874,4.866208000411839
18.3,0.20500000000000002,12.274537093023255,31.0,55.333333333333336,10.0,3.425,0.9,2022-09-12,52.374786000246935,4.86031900024369
18.3,0.20500000000000002,2.441637984496124,5.6,64.0,11.2,3.425,0.9,2022-09-12,52.38931400010768,4.9438219998869615
18.3,0.27,8.839829069767443,33.0,49.0,11.0,3.3,0.9,2022-09-12,52.389983000188224,4.88781099987638
18.3,0.20500000000000002,6.395690594202899,22.919999999999998,55.333333333333336,11.0,2.3,0.9,2022-09-12,52.39397200025616,4.870156999790721
18.8,0.18,9.220394650205762,22.0,52.333333333333336,21.0,5.5,1.2,2022-09-13,52.35803899985509,4.899699999642448
18.8,0.13,1.5803238095238095,14.0,48.0,12.0,3.7,1.2,2022-09-13,52.359714000013874,4.866208000411839
18.8,0.18,12.274537093023255,20.0,52.333333333333336,13.0,3.75,1.2,2022-09-13,52.374786000246935,4.86031900024369
18.8,0.18,2.441637984496124,4.7,61.0,17.2,3.75,1.2,2022-09-13,52.38931400010768,4.9438219998869615
18.8,0.23,8.839829069767443,23.0,48.0,21.0,3.6,1.2,2022-09-13,52.389983000188224,4.88781099987638
18.8,0.18,6.395690594202899,16.740000000000002,52.333333333333336,19.0,2.2,1.2,2022-09-13,52.39397200025616,4.870156999790721
