time,tavg
2022-08-30,18.9
2022-08-31,18.8
2022-09-01,18.9
2022-09-02,19.6
2022-09-03,20.5
2022-09-04,20.5
2022-09-05,22.1
2022-09-06,20.9
2022-09-07,19.1
2022-09-08,18.2
2022-09-09,15.9
2022-09-10,17.5
2022-09-11,17.2
2022-09-12,18.3
2022-09-13,18.8
2022-09-14,16.7
2022-09-15,15.2
2022-09-16,13.0
2022-09-17,12.6
2022-09-18,12.1
2022-09-19,13.4
2022-09-20,12.8
2022-09-21,12.7
2022-09-22,12.6
2022-09-23,13.7
2022-09-24,14.1
2022-09-25,11.7
2022-09-26,12.4
2022-09-27,9.9
2022-09-28,10.6
2022-09-29,9.8
2022-09-30,12.1
2022-10-01,14.4
2022-10-02,13.9
2022-10-03,12.3
2022-10-04,14.1
2022-10-05,16.1
2022-10-06,13.9
2022-10-07,13.0
2022-10-08,12.4
2022-10-09,10.4
2022-10-10,10.7
2022-10-11,10.1
2022-10-12,10.0
2022-10-13,11.8
2022-10-14,12.2
2022-10-15,13.7
2022-10-16,14.3
2022-10-17,15.3
2022-10-18,12.2
2022-10-19,10.1
2022-10-20,11.8
2022-10-21,15.0
2022-10-22,14.8
2022-10-23,14.7
2022-10-24,15.2
2022-10-25,14.0
2022-10-26,14.8
2022-10-27,15.8
2022-10-28,16.4
2022-10-29,15.3
2022-10-30,14.9
2022-10-31,12.8
2022-11-01,14.7
2022-11-02,12.3
2022-11-03,12.3
2022-11-04,9.8
2022-11-05,9.1
2022-11-06,10.3
2022-11-07,12.6
2022-11-08,12.6
2022-11-09,12.2
2022-11-10,11.9
2022-11-11,10.1
2022-11-12,9.2
2022-11-13,9.7
2022-11-14,5.9
2022-11-15,10.0
2022-11-16,10.5
2022-11-17,10.3
2022-11-18,8.1
2022-11-19,1.4
2022-11-20,-0.4
2022-11-21,4.9
2022-11-22,6.6
2022-11-23,8.1
2022-11-24,8.9
2022-11-25,8.8
2022-11-26,7.0
2022-11-27,6.7
2022-11-28,8.4
2022-11-29,7.1
2022-11-30,6.9
2022-12-01,5.4
2022-12-02,3.4
2022-12-03,2.0
2022-12-04,1.2
2022-12-05,5.5
2022-12-06,4.7
2022-12-07,4.0
2022-12-08,2.8
2022-12-09,-0.2
2022-12-10,0.1
2022-12-11,1.7
2022-12-12,-1.3
2022-12-13,-3.3
2022-12-14,-2.3
2022-12-15,0.1
2022-12-16,0.1
2022-12-17,-1.8
2022-12-18,-2.6
2022-12-19,6.6
2022-12-20,9.5
2022-12-21,6.5
2022-12-22,8.2
2022-12-23,9.1
2022-12-24,8.9
2022-12-25,8.6
